iter	Passed	Remaining
600	1315	873
601	1317	871
602	1319	868
603	1321	866
604	1323	864
605	1325	861
606	1327	859
607	1329	857
608	1331	854
609	1333	852
610	1335	850
611	1337	847
612	1339	845
613	1341	843
614	1343	840
615	1344	838
616	1347	836
617	1349	833
618	1351	831
619	1352	829
620	1354	826
621	1356	824
622	1358	822
623	1361	820
624	1363	817
625	1364	815
626	1366	813
627	1368	810
628	1370	808
629	1372	806
630	1374	804
631	1377	801
632	1379	799
633	1381	797
634	1383	795
635	1385	792
636	1387	790
637	1389	788
638	1391	786
639	1393	783
640	1395	781
641	1397	779
642	1399	776
643	1401	774
644	1403	772
645	1405	770
646	1407	768
647	1409	765
648	1411	763
649	1414	761
650	1416	759
651	1418	757
652	1420	754
653	1422	752
654	1424	750
655	1427	748
656	1429	746
657	1431	743
658	1433	741
659	1435	739
660	1437	737
661	1438	734
662	1441	732
663	1443	730
664	1445	728
665	1447	725
666	1449	723
667	1451	721
668	1453	719
669	1455	716
670	1457	714
671	1459	712
672	1461	709
673	1463	707
674	1464	705
675	1467	703
676	1469	700
677	1470	698
678	1472	696
679	1475	694
680	1476	691
681	1478	689
682	1480	687
683	1483	685
684	1485	682
685	1487	680
686	1489	678
687	1491	676
688	1493	674
689	1495	671
690	1497	669
691	1499	667
692	1501	665
693	1503	663
694	1505	660
695	1507	658
696	1510	656
697	1512	654
698	1514	652
699	1516	650
700	1518	647
701	1520	645
702	1522	643
703	1524	640
704	1526	638
705	1528	636
706	1530	634
707	1531	631
708	1534	629
709	1536	627
710	1538	625
711	1540	622
712	1541	620
713	1543	618
714	1545	616
715	1547	613
716	1549	611
717	1551	609
718	1553	607
719	1556	605
720	1558	603
721	1560	600
722	1562	598
723	1564	596
724	1566	594
725	1568	591
726	1570	589
727	1572	587
728	1574	585
729	1575	582
730	1577	580
731	1580	578
732	1582	576
733	1584	574
734	1586	572
735	1588	569
736	1590	567
737	1592	565
738	1594	563
739	1596	560
740	1598	558
741	1600	556
742	1602	554
743	1604	552
744	1606	549
745	1608	547
746	1610	545
747	1612	543
748	1614	541
749	1616	538
750	1618	536
751	1620	534
752	1621	532
753	1623	529
754	1625	527
755	1627	525
756	1629	523
757	1631	520
758	1633	518
759	1634	516
760	1636	514
761	1638	511
762	1640	509
763	1642	507
764	1643	504
765	1645	502
766	1647	500
767	1649	498
768	1650	495
769	1652	493
770	1654	491
771	1655	489
772	1657	486
773	1659	484
774	1661	482
775	1663	480
776	1665	477
777	1666	475
778	1668	473
779	1670	471
780	1672	468
781	1673	466
782	1675	464
783	1677	462
784	1679	459
785	1681	457
786	1682	455
787	1684	453
788	1686	450
789	1688	448
790	1689	446
791	1691	444
792	1693	441
793	1694	439
794	1696	437
795	1698	435
796	1700	433
797	1702	430
798	1704	428
799	1706	426
800	1707	424
801	1709	422
